studentnummer,plaats,naam_vooropleiding,geslacht,,was_aanwezig,advies,aantal_weigeringen,gewogen_gemiddelde,komt_studeren,reden_stoppen,voorkeursopleiding,competenties,capaciteiten,intr_motivatie,extr_motivatie,is_mbo_deficient,Ondernemen in combinatie met studie,Nadere oriëntatie op een Ad-opleiding in ’s-Hertogenbosch,Nadere oriëntatie op een Ad opleiding in Roosendaal,persoonlijk_bijspijker_advies,"Functiebeperking, namelijk",Dyslexie,Topsport in combinatie met studie,Chronische ziekte,Problemen in de persoonlijke sfeer,"Ander onderwerp, namelijk",Financiële problemen in relatie tot studeren,Studiekeuze,Extra gesprek met opleiding,Bijscholing Engels,Peermentoring (specifiek ter ondersteuning van ASS & AD(H)D),Aanmelden_voor_verkort_opleidingstraject,Hyperrr - Peermentoring (specifiek door opleiding aangeboden),MBO - Oefenen Nederlandse Taal,MBO - Peermentoring (specifiek ter ondersteuning van ASS & AD(H)D),MBO - Peermentoring (ter ondersteuning in het algemeen door hogerejaars student van dezelfde opleiding),Traject opleiding
2000245,OOSTERHOUT NB,Sociaal Maatschappelijk Dienstverlener,m,1994,,Negatief,0,,-,Uitgeschreven voor opleiding.,,5,6,6,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000246,HOOGVLIET ROTTERDAM,HAVO Natuur en Gezondheid,m,1988,,Twijfel,0,,-,Uitgeschreven voor opleiding.,,6,5,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000247,ROOSENDAAL,HAVO NIEUW Economie en Maatschappij,m,1997,,Twijfel,0,,-,Uitgeschreven voor opleiding.,,6,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000248,BREDA,HAVO Natuur en Gezondheid,m,1989,,Negatief,0,,-,Uitgeschreven voor opleiding.,,5,6,6,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000249,SLIEDRECHT,HAVO NIEUW Economie en Maatschappij,m,1998,Ja,Twijfel,0,16,-,Uitgeschreven voor opleiding.,,6,5,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-
2000250,BAVEL,HAVO NIEUW Natuur en Techniek,m,1997,Ja,Positief,0,17,Ja,,,7,7,5,7,Nee,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000251,BREDA,HAVO NIEUW Natuur en Techniek,m,1994,Ja,Positief,0,18,Ja,,,7,6,7,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000252,BREDA,HAVO NIEUW Natuur en Techniek,m,1995,Ja,Positief,0,17,Ja,,,6,7,8,9,Nee,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-
2000253,GORINCHEM,Applicatieontwikkelaar,m,1997,Ja,Positief,0,18,Ja,,,6,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000254,HILLEGOM,Propedeuse Bachelor HBO,m,1994,,Positief,0,,-,,,5,7,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000255,KUDELSTAART,Propedeuse Bachelor HBO,m,1995,,Twijfel,0,,-,,,6,6,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000256,BREDA,HAVO NIEUW Natuur en Techniek,m,1996,Ja,Negatief,0,9,-,Uitgeschreven voor opleiding.,,7,5,6,5,Nee,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-
2000257,BREDA,HAVO NIEUW Economie en Maatschappij,m,2000,,Positief,0,,-,Uitgeschreven voor opleiding.,,6,7,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000258,Santasi,Buitenlandse vooropleiding via SL,m,1992,,Negatief,0,,-,Uitgeschreven voor opleiding.,,6,5,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000259,BREDA,Applicatieontwikkelaar,m,1997,,Twijfel,0,,-,Uitgeschreven voor opleiding.,Technische Informatica,7,7,7,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000260,BREDA,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1991,,Twijfel,0,,-,Uitgeschreven voor opleiding.,,6,7,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000261,CHAAM,ICT-beheerder,m,1995,,Twijfel,0,,-,Uitgeschreven voor opleiding.,,6,7,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000262,TER AAR,Propedeuse Bachelor HBO,m,1997,,Positief,0,,-,,,7,7,7,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000263,BAVEL,HAVO NIEUW Natuur en Techniek,m,1997,Ja,Positief,0,18,-,,,6,7,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000264,OOSTERHOUT NB,SB Directiesecretaresse,v,1987,Ja,Positief,0,18,Ja,,,6,8,5,8,Ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000265,TILBURG,HAVO NIEUW Natuur en Techniek,m,1998,Ja,Positief,0,17,-,,,7,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000266,BREDA,Colloquium Doctum,m,1992,,Twijfel,0,,-,Uitgeschreven voor opleiding.,Informatica,5,6,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000267,GILZE,HAVO NIEUW Natuur en Gezondheid,m,1999,Ja,Positief,0,18,-,,,6,6,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000268,ETTEN-LEUR,ICT-beheerder,m,1996,Ja,Positief,0,18,-,,Business IT & Management,6,8,7,5,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000269,DELFT,Propedeuse Bachelor HBO,m,1991,,Twijfel,0,,-,,,6,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000270,BREDA,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1998,Ja,Positief,0,16,-,,Informatica,5,7,7,7,Nee,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000271,LEIDERDORP,Propedeuse Bachelor HBO,m,1990,,Positief,0,,-,,,4,6,6,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000272,Tilburg,HAVO NIEUW Economie en Maatschappij,m,1997,Ja,Positief,0,18,-,,Informatica,7,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000273,OOSTERHOUT NB,ICT-beheerder,m,1997,,Twijfel,0,,-,Uitgeschreven voor opleiding.,,7,5,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000274,ALBLASSERDAM,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1998,,Twijfel,2,,-,Uitgeschreven voor opleiding.,,6,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000275,HALSTEREN,HAVO NIEUW Natuur en Gezondheid,m,1993,,Twijfel,0,,-,Uitgeschreven voor opleiding.,,7,5,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000276,TILBURG,HAVO NIEUW Natuur en Techniek,m,1994,,Positief,2,,-,Uitgeschreven voor opleiding.,,7,7,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000277,ROZENBURG ZH,HAVO NIEUW Natr en Tech+Natr en Gezondh,m,1998,,Negatief,1,,-,Uitgeschreven voor opleiding.,,5,5,7,5,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000278,BREDA,Applicatie Ontwikkelaar,m,1989,,Twijfel,0,,-,Uitgeschreven voor opleiding.,,5,6,6,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000279,BREDA,Applicatie Ontwikkelaar,m,1989,,Twijfel,0,,-,Uitgeschreven voor opleiding.,,5,6,5,7,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000280,BREDA,HAVO NIEUW Natuur en Techniek,m,1994,,Positief,1,,-,,,5,8,5,8,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000281,STEENBERGEN NB,HAVO NIEUW Economie en Maatschappij,m,1999,Ja,Twijfel,0,13,-,,,5,6,6,6,Nee,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Regulier traject
2000282,LEIDSCHENDAM,Filiaalbeheerder,m,1989,,Twijfel,0,,-,Uitgeschreven voor opleiding.,,5,6,7,6,Ja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000283,RIJNSBURG,Propedeuse Bachelor HBO,m,1997,,Twijfel,0,,-,,,5,6,6,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
2000284,ZEIST,HAVO NIEUW Economie en Maatschappij,m,1997,,Twijfel,1,,-,Uitgeschreven voor opleiding.,,4,7,7,6,Nee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
